,issuercountry,txvariantcode,issuer_id,amount,currencycode,shoppercountry,interaction,verification,cvcresponse,creationdate_stamp,accountcode,mail_id,ip_id,card_id,label,creationdate
170753,MX,mccredit,522174.0,74900.0,MXN,MX,Ecommerce,TRUE,0,1438789665.0,MexicoAccount,21032,70586,134288,1,2015-8-5
170846,AU,visaclassic,456471.0,29800.0,AUD,AU,Ecommerce,TRUE,0,1438747111.0,APACAccount,41603,146508,25081,1,2015-8-5
172827,MX,visaclassic,477291.0,109900.0,MXN,MX,Ecommerce,TRUE,0,1438821948.0,MexicoAccount,72344,81354,222807,1,2015-8-6
172828,MX,mccredit,520416.0,129900.0,MXN,MX,Ecommerce,TRUE,0,1438881083.0,MexicoAccount,334864,80629,99997,1,2015-8-6
173154,GB,visadebit,475130.0,13400.0,GBP,GB,ContAuth,FALSE,0,1438847148.0,UKAccount,210351,148854,241682,1,2015-8-6
173155,GB,visadebit,475130.0,5300.0,GBP,GB,ContAuth,FALSE,0,1438849125.0,UKAccount,210351,148854,241682,1,2015-8-6
173156,GB,visadebit,475130.0,4000.0,GBP,GB,ContAuth,FALSE,0,1438849293.0,UKAccount,210351,148854,241682,1,2015-8-6
176726,MX,visadebit,416916.0,59800.0,MXN,MX,Ecommerce,TRUE,0,1438995270.0,MexicoAccount,92748,80156,63236,1,2015-8-8
176727,MX,mccredit,547146.0,99900.0,MXN,MX,Ecommerce,TRUE,0,1439003108.0,MexicoAccount,51862,78633,239579,1,2015-8-8
176786,AU,visaplatinum,455701.0,16000.0,AUD,AU,Ecommerce,TRUE,0,1438990262.0,APACAccount,191102,611,134068,1,2015-8-8
176787,AU,mccredit,521729.0,20000.0,AUD,AU,Ecommerce,TRUE,0,1439007383.0,APACAccount,237726,146581,43348,1,2015-8-8
176788,AU,visaclassic,494052.0,41000.0,AUD,AU,Ecommerce,TRUE,0,1439041129.0,APACAccount,118183,132796,216538,1,2015-8-8
178273,BR,visa,406669.0,16000.0,AUD,BR,Ecommerce,TRUE,0,1439081304.0,APACAccount,105510,114283,147190,1,2015-8-9
180115,AU,visaclassic,494052.0,43500.0,AUD,AU,Ecommerce,TRUE,0,1441106809.0,APACAccount,280024,55255,140495,1,2015-9-1
180391,MY,mccredit,552115.0,11050.0,GBP,MY,Ecommerce,TRUE,1,1441126534.0,UKAccount,145778,25947,194032,1,2015-9-1
184626,SE,visadebit,455262.0,94900.0,SEK,SE,Ecommerce,TRUE,1,1441839956.0,SwedenAccount,328749,229679,121495,1,2015-9-10
184627,SE,visadebit,455262.0,49900.0,SEK,SE,Ecommerce,TRUE,1,1441841665.0,SwedenAccount,328215,229679,121495,1,2015-9-10
184628,SE,visadebit,455262.0,49900.0,SEK,SE,Ecommerce,TRUE,1,1441842020.0,SwedenAccount,328215,229679,121495,1,2015-9-10
184768,MX,visagold,455255.0,89900.0,MXN,MX,Ecommerce,TRUE,0,1441954429.0,MexicoAccount,265992,42080,177780,1,2015-9-11
184842,AU,visa,414726.0,22500.0,AUD,AU,Ecommerce,TRUE,0,1441952543.0,APACAccount,47947,42320,85518,1,2015-9-11
184843,AU,visadebit,423953.0,43500.0,AUD,AU,Ecommerce,TRUE,0,1441988006.0,APACAccount,345447,25397,93343,1,2015-9-11
186202,FI,mcdebit,543065.0,427500.0,SEK,SE,Ecommerce,TRUE,1,1441952778.0,SwedenAccount,175871,160664,132661,1,2015-9-11
186353,AU,visasignature,460184.0,37500.0,AUD,AU,Ecommerce,TRUE,0,1442091452.0,APACAccount,238323,1460,226920,1,2015-9-12
187647,SE,visadebit,453903.0,110000.0,SEK,SE,Ecommerce,TRUE,1,1442050084.0,SwedenAccount,345322,87029,172769,1,2015-9-12
187648,SE,visadebit,453903.0,124500.0,SEK,SE,Ecommerce,TRUE,1,1442051126.0,SwedenAccount,345322,87029,172769,1,2015-9-12
